2019-12-03 12:03:30 INFO  TransportClientFactory:267 - Successfully created connection to cssmpi1/172.28.203.196:58350 after 29 ms (0 ms spent in bootstraps)
2019-12-03 12:03:30 INFO  StandaloneSchedulerBackend:54 - Connected to Spark cluster with app ID app-20191203120330-0000
2019-12-03 12:03:30 INFO  StandaloneAppClient$ClientEndpoint:54 - Executor added: app-20191203120330-0000/0 on worker-20191203120259-172.28.203.196-45419 (172.28.203.196:45419) with 1 core(s)
2019-12-03 12:03:30 INFO  Utils:54 - Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 42909.
2019-12-03 12:03:30 INFO  NettyBlockTransferService:54 - Server created on cssmpi1.uwb.edu:42909
2019-12-03 12:03:30 INFO  BlockManager:54 - Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
2019-12-03 12:03:30 INFO  StandaloneSchedulerBackend:54 - Granted executor ID app-20191203120330-0000/0 on hostPort 172.28.203.196:45419 with 1 core(s), 1024.0 MB RAM
2019-12-03 12:03:30 INFO  BlockManagerMaster:54 - Registering BlockManager BlockManagerId(driver, cssmpi1.uwb.edu, 42909, None)
2019-12-03 12:03:30 INFO  BlockManagerMasterEndpoint:54 - Registering block manager cssmpi1.uwb.edu:42909 with 366.3 MB RAM, BlockManagerId(driver, cssmpi1.uwb.edu, 42909, None)
2019-12-03 12:03:30 INFO  BlockManagerMaster:54 - Registered BlockManager BlockManagerId(driver, cssmpi1.uwb.edu, 42909, None)
2019-12-03 12:03:30 INFO  BlockManager:54 - Initialized BlockManager: BlockManagerId(driver, cssmpi1.uwb.edu, 42909, None)
2019-12-03 12:03:30 INFO  StandaloneAppClient$ClientEndpoint:54 - Executor updated: app-20191203120330-0000/0 is now RUNNING
2019-12-03 12:03:30 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6f8f8a80{/metrics/json,null,AVAILABLE,@Spark}
2019-12-03 12:03:30 INFO  StandaloneSchedulerBackend:54 - SchedulerBackend is ready for scheduling beginning after reached minRegisteredResourcesRatio: 0.0
